order_id,customer_id,product_id,session_id,order_date,quantity,unit_selling_price,total_amount,order_status
ORD_000571,CUST_00935,PROD_0025,SESS_000370,2023-12-04,1,3299,3299,Cancelled
ORD_001084,CUST_00323,PROD_0038,NULL,2023-05-29,5,499.99,2500,Cancelled
ORD_001896,CUST_00055,PROD_0013,SESS_001670,2023-12-15,2,1599.99,3200,Cancelled
ORD_000361,CUST_999995,PROD_0032,SESS_004097,2023-05-26,2,129,258,Cancelled
ORD_002715,CUST_999998,PROD_0006,SESS_001521,2023-11-14,1,799.99,800,Refunded
ORD_001850,CUST_00454,PROD_0017,NULL,2023-10-13,4,398,1592,Completed
ORD_001829,CUST_00799,PROD_0028,SESS_002535,2023-11-29,2,2499,4998,Completed
ORD_001963,CUST_00954,PROD_0027,SESS_002343,2023-06-13,5,2498,12490,Processing
ORD_000764,CUST_00307,PROD_0026,SESS_003392,2023-02-09,4,599,2396,Cancelled
ORD_001946,CUST_00543,PROD_0016,SESS_001631,2023-04-22,4,1450,5800,Refunded
ORD_002197,CUST_00065,PROD_0019,SESS_003746,NULL,3,249,747,Completed
ORD_001661,CUST_00616,PROD_0018,SESS_002666,2023-06-13,5,429,2145,Processing
ORD_001570,CUST_00504,PROD_0011,SESS_003439,2023-09-14,2,1499,2998,Completed
ORD_002045,CUST_00979,PROD_0012,SESS_000870,2023-10-15,5,1399.5,6998,Cancelled
ORD_002991,CUST_00849,PROD_0007,NULL,2023-11-03,2,2498,4996,Cancelled
ORD_000142,CUST_00630,PROD_0020,SESS_004665,2023-05-06,4,349.95,1400,Refunded
ORD_000659,CUST_00658,PROD_0025,NULL,2023-07-25,5,3299,16495,Completed
ORD_000940,CUST_00543,PROD_0035,SESS_000052,2023-12-11,3,399.99,1200,Cancelled
ORD_001837,CUST_00501,PROD_0035,SESS_003598,2023-06-26,5,399.99,2000,Processing
ORD_002371,CUST_00083,PROD_0019,NULL,2023-07-16,2,249,498,Completed
ORD_002460,CUST_00519,PROD_0042,SESS_001739,2023-04-06,1,749.99,750,Completed
ORD_002348,CUST_00345,PROD_0020,SESS_001701,2023-01-06,3,349.95,1050,Cancelled
ORD_000094,CUST_00179,PROD_0021,SESS_004987,2023-08-11,5,229.99,1150,Cancelled
ORD_000160,CUST_00621,PROD_0028,NULL,2023-01-11,3,2499,7497,Processing
ORD_000553,CUST_00656,PROD_0026,SESS_001296,2023-09-22,1,599,599,Cancelled
ORD_001073,CUST_00983,PROD_0020,SESS_003977,2023-05-30,5,349.95,1750,Cancelled
ORD_001804,CUST_00084,PROD_0011,SESS_001293,2023-05-04,5,1499,7495,Processing
ORD_001301,CUST_00189,PROD_0030,SESS_001593,2023-05-03,3,759,2277,Refunded
ORD_003209,CUST_00810,PROD_0030,SESS_001077,2023-03-27,5,759,3795,Processing
ORD_002931,CUST_00375,PROD_0014,NULL,2023-02-02,1,1249,1249,Processing
ORD_001951,CUST_00798,PROD_0011,SESS_002507,2023-04-22,1,1499,1499,Cancelled
ORD_000909,CUST_00268,PROD_0030,SESS_004128,2023-02-13,5,759,3795,Processing
ORD_000375,CUST_00599,PROD_0008,NULL,2023-01-10,4,699,2796,Processing
ORD_000872,CUST_00186,PROD_0030,SESS_002931,2023-05-29,5,759,3795,Cancelled
ORD_001366,CUST_00857,PROD_0027,SESS_001036,NULL,5,2498,12490,Cancelled
ORD_002439,CUST_00610,PROD_0038,SESS_001426,2023-01-25,4,499.99,2000,Processing
ORD_000621,CUST_00185,PROD_0027,NULL,2023-12-18,4,2498,9992,Cancelled
ORD_002074,CUST_00235,PROD_0037,NULL,2023-03-05,2,499.99,1000,Cancelled
ORD_003293,CUST_00870,PROD_0030,SESS_000513,2023-08-01,1,759,759,Cancelled
ORD_003204,CUST_00935,PROD_0021,SESS_000561,2023-08-11,2,229.99,460,Cancelled
ORD_002969,CUST_00600,PROD_0015,SESS_002301,2023-01-12,5,2699.99,13500,Cancelled
ORD_003323,CUST_00745,PROD_0030,SESS_002006,2023-11-02,3,759,2277,Cancelled
ORD_002856,CUST_00726,PROD_0011,NULL,2023-04-08,5,1499,7495,Completed
ORD_003394,CUST_00354,PROD_0004,SESS_000940,2023-11-19,4,1799.99,7200,Cancelled
ORD_001576,CUST_00934,PROD_0010,NULL,2023-12-26,3,1299,3897,Processing
ORD_003097,CUST_00075,PROD_0012,NULL,2023-01-28,1,1399.5,1400,Completed
ORD_001072,CUST_00672,PROD_0029,SESS_001399,2023-04-08,3,3996.95,11991,Cancelled
ORD_001240,CUST_00243,PROD_0012,SESS_003801,NULL,4,1399.5,5598,Completed
ORD_002012,CUST_00917,PROD_0033,SESS_001799,2023-01-12,5,799,3995,Processing
ORD_002850,CUST_00294,PROD_0033,SESS_004592,2023-02-17,2,799,1598,Completed
ORD_001989,CUST_00165,PROD_0007,SESS_004413,2023-07-15,1,2498,2498,Completed
ORD_002825,CUST_00635,PROD_0031,SESS_004836,2023-11-23,2,399.99,800,Processing
ORD_003284,CUST_00414,PROD_0042,SESS_002739,2023-11-02,5,749.99,3750,Completed
ORD_001640,CUST_00638,PROD_0032,NULL,2023-05-04,2,129,258,Refunded
ORD_001605,CUST_00509,PROD_0001,SESS_000516,2023-05-25,3,1199,3597,Cancelled
ORD_002765,CUST_00151,PROD_0010,SESS_002243,2023-05-18,3,1299,3897,Cancelled
ORD_001425,CUST_00598,PROD_0017,SESS_002975,2023-08-01,1,398,398,Cancelled
ORD_002211,CUST_00895,PROD_0001,SESS_002449,2023-09-21,2,1199,2398,Refunded
ORD_003243,CUST_00063,PROD_0020,SESS_004003,2023-08-28,5,349.95,1750,Completed
ORD_000331,CUST_00117,PROD_0001,SESS_004188,2023-03-30,1,1199,1199,Cancelled
ORD_000555,CUST_00272,PROD_0024,SESS_002734,2023-07-22,2,2499.99,5000,Cancelled
ORD_002556,CUST_00462,PROD_0001,SESS_002809,NULL,2,1199,2398,Refunded
ORD_003197,CUST_00389,PROD_0007,SESS_001843,2023-11-23,1,2498,2498,Refunded
ORD_002796,CUST_00326,PROD_0038,SESS_002515,2023-05-06,3,499.99,1500,Cancelled
ORD_002482,CUST_00085,PROD_0019,SESS_004390,2023-04-12,4,249,996,Completed
ORD_003220,CUST_00099,PROD_0041,SESS_003899,2023-10-15,1,799,799,Refunded
ORD_001089,CUST_00166,PROD_0012,SESS_002893,2023-04-13,3,1399.5,4198,Cancelled
ORD_001329,CUST_00947,PROD_0029,NULL,2023-04-08,3,3996.95,11991,Cancelled
ORD_000312,CUST_00716,PROD_0006,SESS_004773,2023-09-12,2,799.99,1600,Cancelled
ORD_000048,CUST_00277,PROD_0034,SESS_001768,2023-04-05,2,899.99,1800,Completed
ORD_000828,CUST_00604,PROD_0029,SESS_001771,2023-11-24,5,3996.95,19985,Refunded
ORD_002893,CUST_00329,PROD_0008,NULL,2023-01-10,3,699,2097,Cancelled
ORD_000903,CUST_00938,PROD_0013,SESS_004387,2023-08-03,2,1599.99,3200,Cancelled
ORD_001011,CUST_00539,PROD_0035,SESS_001494,2023-08-23,4,399.99,1600,Completed
ORD_000287,CUST_00813,PROD_0012,SESS_001450,2023-01-10,5,1399.5,6998,Processing
ORD_000964,CUST_00883,PROD_0008,SESS_002051,2023-10-03,1,699,699,Cancelled
ORD_001569,CUST_00979,PROD_0002,SESS_001191,2023-12-18,2,799,1598,Completed
ORD_001618,CUST_00116,PROD_0008,SESS_000541,2023-02-23,5,699,3495,Processing
ORD_000510,CUST_00839,PROD_0023,SESS_003528,2023-05-23,1,1699.99,1700,Refunded
ORD_001137,CUST_00382,PROD_0008,SESS_002206,2023-12-10,3,699,2097,Completed
ORD_002928,CUST_00563,PROD_0005,NULL,2023-07-23,4,999,3996,Completed
ORD_003345,CUST_00371,PROD_0032,SESS_004810,2023-04-28,2,129,258,Refunded
ORD_000701,CUST_00774,PROD_0035,SESS_000708,2023-07-10,1,399.99,400,Cancelled
ORD_002507,CUST_00814,PROD_0018,SESS_003722,2023-04-06,3,429,1287,Cancelled
ORD_000731,CUST_00112,PROD_0018,NULL,2023-12-27,1,429,429,Cancelled
ORD_002300,CUST_00995,PROD_0024,SESS_000153,2023-12-01,1,2499.99,2500,Processing
ORD_002228,CUST_00397,PROD_0033,SESS_004279,2023-12-01,4,799,3196,Completed
ORD_002818,CUST_00843,PROD_0025,SESS_000034,2023-09-16,3,3299,9897,Completed
ORD_000322,CUST_00302,PROD_0018,SESS_001301,2023-03-31,5,429,2145,Cancelled
ORD_002321,CUST_00926,PROD_0012,NULL,2023-06-15,5,1399.5,6998,Processing
ORD_002986,CUST_00402,PROD_0003,SESS_001786,2023-08-29,2,1299.99,2600,Completed
ORD_000564,CUST_00747,PROD_0032,SESS_003810,2023-02-01,4,129,516,Completed
ORD_002868,CUST_00132,PROD_0032,SESS_003751,2023-05-11,5,129,645,Completed
ORD_003389,CUST_00057,PROD_0007,SESS_004006,2023-09-02,5,2498,12490,Processing
ORD_000867,CUST_00750,PROD_0004,SESS_001983,2023-03-03,2,1799.99,3600,Refunded
ORD_002978,CUST_00445,PROD_0024,NULL,2023-02-14,5,2499.99,12500,Completed
ORD_000734,CUST_00104,PROD_0032,SESS_003879,2023-04-20,2,129,258,Completed
ORD_002194,CUST_00584,PROD_0010,NULL,2023-01-16,3,1299,3897,Refunded
ORD_002885,CUST_00051,PROD_0004,SESS_002616,2023-03-17,3,1799.99,5400,Completed
ORD_002469,CUST_00251,PROD_0040,SESS_002110,2023-02-23,4,199.99,800,Cancelled
