session_id,customer_id,campaign_id,visit_date,device_type,duration_sec,bounced
SESS_000001,CUST_00524,CAMP_04,2023-09-15,Desktop,32,TRUE
SESS_000002,CUST_00756,NULL,2023-05-05,Desktop,167,TRUE
SESS_000003,NULL,NULL,2023-11-25,Desktop,492,FALSE
SESS_000004,CUST_00337,NULL,2023-06-12,Tablet,86,FALSE
SESS_000005,CUST_00769,NULL,2023-06-19,Tablet,501,FALSE
SESS_000006,CUST_00821,CAMP_04,2023-11-08,Mobile,1072,TRUE
SESS_000007,NULL,NULL,2023-04-09,Desktop,294,FALSE
SESS_000008,CUST_00852,CAMP_04,2023-05-01,Desktop,165,FALSE
SESS_000009,CUST_00251,NULL,2023-11-07,Mobile,625,FALSE
SESS_000010,NULL,CAMP_08,2023-02-10,Tablet,820,FALSE
SESS_000011,CUST_00753,NULL,2023-03-21,Mobile,45,TRUE
SESS_000012,CUST_00944,NULL,2023-10-03,Mobile,1137,FALSE
SESS_000013,CUST_00291,NULL,2023-11-07,Mobile,152,FALSE
SESS_000014,NULL,NULL,2023-01-07,Desktop,771,FALSE
SESS_000015,CUST_00383,NULL,2023-06-07,Tablet,0,TRUE
SESS_000016,CUST_00580,NULL,2023-08-12,Tablet,718,FALSE
SESS_000017,CUST_00060,CAMP_07,2023-05-07,Mobile,983,FALSE
SESS_000018,CUST_00029,CAMP_03,2023-05-14,Desktop,937,FALSE
SESS_000019,CUST_00975,CAMP_03,2023-01-07,Desktop,194,FALSE
SESS_000020,CUST_00998,CAMP_09,2023-04-07,Mobile,344,TRUE
SESS_000021,CUST_00546,CAMP_07,2023-10-28,Tablet,847,TRUE
SESS_000022,NULL,CAMP_06,2023-03-15,Tablet,434,TRUE
SESS_000023,NULL,NULL,2023-09-09,Desktop,203,TRUE
SESS_000024,CUST_00296,CAMP_03,2023-04-01,Tablet,386,FALSE
SESS_000025,CUST_00113,NULL,2023-04-19,Mobile,416,FALSE
SESS_000026,NULL,CAMP_07,2023-08-14,Tablet,228,TRUE
SESS_000027,NULL,NULL,2023-02-02,Tablet,65,FALSE
SESS_000028,CUST_00010,NULL,2023-01-04,Tablet,0,FALSE
SESS_000029,CUST_00008,NULL,2023-09-24,Tablet,1000,FALSE
SESS_000030,CUST_00699,CAMP_06,2023-05-03,Tablet,821,TRUE
SESS_000031,CUST_00826,NULL,2023-08-22,Tablet,827,FALSE
SESS_000032,NULL,NULL,2023-09-29,Tablet,514,FALSE
SESS_000033,CUST_00528,NULL,2023-04-07,Desktop,505,TRUE
SESS_000034,CUST_00993,CAMP_06,2023-12-14,Mobile,483,TRUE
SESS_000035,CUST_00357,NULL,2023-09-01,Tablet,210,FALSE
SESS_000036,CUST_00891,CAMP_10,2023-09-16,Desktop,266,FALSE
SESS_000037,CUST_00896,NULL,2023-08-17,Desktop,992,FALSE
SESS_000038,NULL,CAMP_02,2023-02-24,Mobile,64,FALSE
SESS_000039,CUST_00226,CAMP_08,2023-12-10,Desktop,283,FALSE
SESS_000040,NULL,CAMP_04,2023-10-22,Desktop,137,FALSE
SESS_000041,CUST_00743,NULL,2023-11-25,Desktop,899,TRUE
SESS_000042,NULL,NULL,2023-06-24,Tablet,390,TRUE
SESS_000043,NULL,NULL,2023-07-14,Desktop,8,FALSE
SESS_000044,CUST_00434,NULL,2023-07-06,Tablet,263,FALSE
SESS_000045,NULL,NULL,2023-08-24,Tablet,301,FALSE
SESS_000046,CUST_00467,NULL,2023-05-26,Mobile,75,FALSE
SESS_000047,NULL,CAMP_10,2023-09-02,Tablet,446,FALSE
SESS_000048,NULL,CAMP_03,2023-04-18,Tablet,465,FALSE
SESS_000049,CUST_00745,NULL,2023-12-04,Mobile,49,FALSE
SESS_000050,CUST_00357,CAMP_07,2023-02-06,Desktop,584,FALSE
SESS_000051,CUST_00404,NULL,2023-06-15,Desktop,115,FALSE
SESS_000052,CUST_00592,NULL,2023-12-23,Mobile,601,FALSE
SESS_000053,NULL,CAMP_06,2023-10-22,Desktop,307,FALSE
SESS_000054,CUST_00949,NULL,2023-07-02,Mobile,372,TRUE
SESS_000055,CUST_00608,NULL,2023-03-18,Tablet,832,FALSE
SESS_000056,CUST_00705,CAMP_03,2023-12-01,Tablet,773,FALSE
SESS_000057,CUST_00797,NULL,2023-11-29,Mobile,568,TRUE
SESS_000058,NULL,NULL,2023-09-08,Tablet,1048,TRUE
SESS_000059,CUST_00711,CAMP_10,2023-04-03,Mobile,996,TRUE
SESS_000060,CUST_00102,NULL,2024-01-01,Desktop,383,FALSE
SESS_000061,CUST_00550,CAMP_09,2023-09-08,Desktop,1067,FALSE
SESS_000062,NULL,CAMP_02,2023-04-03,Desktop,336,FALSE
SESS_000063,CUST_00126,NULL,2023-10-22,Mobile,335,TRUE
SESS_000064,NULL,NULL,2023-06-02,Tablet,1119,FALSE
SESS_000065,NULL,NULL,2023-09-23,Tablet,1098,FALSE
SESS_000066,CUST_00933,CAMP_06,2023-11-07,Desktop,1050,TRUE
SESS_000067,NULL,NULL,2023-06-03,Mobile,279,TRUE
SESS_000068,NULL,CAMP_07,2023-02-08,Desktop,527,FALSE
SESS_000069,CUST_00086,CAMP_07,2023-12-22,Mobile,1102,TRUE
SESS_000070,CUST_00714,CAMP_06,2023-10-16,Tablet,1052,FALSE
SESS_000071,CUST_00807,NULL,2023-01-14,Desktop,511,TRUE
SESS_000072,CUST_00417,NULL,2023-11-24,Desktop,748,FALSE
SESS_000073,CUST_00232,NULL,2023-02-20,Mobile,460,TRUE
SESS_000074,NULL,CAMP_05,2023-10-29,Mobile,200,TRUE
SESS_000075,CUST_00623,NULL,2023-01-25,Mobile,656,TRUE
SESS_000076,CUST_00695,CAMP_09,2023-10-10,Desktop,829,TRUE
SESS_000077,CUST_00731,NULL,2023-03-06,Mobile,780,FALSE
SESS_000078,CUST_00380,CAMP_04,2023-12-14,Desktop,861,TRUE
SESS_000079,CUST_00515,NULL,2023-08-08,Desktop,473,TRUE
SESS_000080,CUST_00321,CAMP_02,2023-02-09,Tablet,496,TRUE
SESS_000081,NULL,NULL,2023-09-10,Desktop,873,FALSE
SESS_000082,CUST_00528,CAMP_09,2023-12-24,Desktop,589,FALSE
SESS_000083,CUST_00764,NULL,2023-08-06,Tablet,1099,FALSE
SESS_000084,CUST_00943,CAMP_09,2023-12-17,Desktop,91,FALSE
SESS_000085,CUST_00783,CAMP_04,2023-03-31,Desktop,756,TRUE
SESS_000086,CUST_00389,NULL,2023-02-27,Tablet,516,TRUE
SESS_000087,NULL,NULL,2023-05-16,Mobile,9,FALSE
SESS_000088,CUST_00952,CAMP_09,2023-01-19,Mobile,0,FALSE
SESS_000089,CUST_00363,NULL,2023-06-29,Tablet,0,FALSE
SESS_000090,CUST_00087,CAMP_03,2023-07-30,Desktop,175,FALSE
SESS_000091,NULL,NULL,2023-07-11,Tablet,751,TRUE
SESS_000092,NULL,NULL,2023-08-13,Mobile,291,TRUE
SESS_000093,CUST_00727,NULL,2023-04-08,Tablet,87,TRUE
SESS_000094,CUST_00165,CAMP_08,2023-12-07,Tablet,248,FALSE
SESS_000095,CUST_00333,CAMP_07,2023-09-14,Tablet,801,TRUE
SESS_000096,NULL,NULL,2023-01-07,Tablet,489,FALSE
SESS_000097,CUST_00756,NULL,2023-09-03,Tablet,582,FALSE
SESS_000098,CUST_00747,CAMP_04,2023-05-24,Desktop,544,FALSE
SESS_000099,NULL,CAMP_02,2023-12-25,Tablet,1033,TRUE
SESS_000100,CUST_00153,NULL,2023-03-09,Mobile,83,FALSE
SESS_000101,CUST_00632,NULL,2023-01-27,Mobile,839,FALSE
SESS_000102,NULL,NULL,2023-02-01,Desktop,879,TRUE
SESS_000103,CUST_00966,NULL,2023-08-03,Mobile,660,TRUE
SESS_000104,NULL,CAMP_04,2023-05-27,Mobile,578,FALSE
SESS_000105,NULL,NULL,2023-06-21,Tablet,0,TRUE
